	Data	Id	Label	Median	Signif	Substr	pVal
270	1.455	Median_IFI	1566	0.37	no	yeast	0.3690581252054873
271	31.625	Median_IFI	1567	17.1675	no	yeast	0.07378087703526331
272	0.15	Median_IFI	1569	5.81	no	yeast	0.15059516495350958
273	0.47	Median_IFI	1570	0.47	no	yeast	0.33898548926248173
274	0.12	Median_IFI	1575	3.955	no	yeast	0.4279417752220114
275	0.115	Median_IFI	1576	12.7725	no	yeast	0.051962359476181635
276	0.15	Median_IFI	1579	0.98	no	yeast	0.6418304326820448
277	23.15	Median_IFI	1581	12.2	no	yeast	0.023082308423995772
278	0.17	Median_IFI	1587	0.13	no	yeast	0.020600188593029256
279	0.2	Median_IFI	1588	28.09	no	yeast	0.017992950462815085
280	46.75	Median_IFI	1593	0.27	no	yeast	0.7564287268678761
281	5.465	Median_IFI	1597	8.99	no	yeast	0.015334555028483991
282	5.905	Median_IFI	1602	9.1725	yes	yeast	0.007443077254656994
283	0.14	Median_IFI	2111	5.8475	no	yeast	0.32169944283953383
284	29.375	Median_IFI	2257	29.375	yes	yeast	0.003045269625423507
285	11.835	Median_IFI	2259	32.19	yes	yeast	3.2861390837542854e-05
286	0.37	Median_IFI	2275	2.345	no	yeast	0.22406548377975158
287	39.965	Median_IFI	2278	48.3425	yes	yeast	0.006853944332183471
288	63.31	Median_IFI	2279	51.4	yes	yeast	0.008701954881286887
289	15.36	Median_IFI	2285	9.415	no	yeast	0.17633108920765198
290	31.14	Median_IFI	2310	14.96	yes	yeast	0.008767833437350528
291	38.815	Median_IFI	2316	0.2175	no	yeast	0.679016353812677
292	0.195	Median_IFI	2324	2.55	no	yeast	0.1732873833602846
293	0.07	Median_IFI	2378	2.2675	no	yeast	0.87968308427176
294	67.95	Median_IFI	2384	80.11	yes	yeast	0.0002459035686972138
295	0.62	Median_IFI	2388	9.28	no	yeast	0.3153978084812571
296	48.1	Median_IFI	2391	18.01	yes	yeast	0.0005652765866469772
